timestamp,mmsi,lat,lon,sog,cog,length,width,shiptype,dist
2024-05-12 09:23:00,273332560,61.98235467146341,-6.523261094878049,12.93170731707317,188.40243902439025,105.0,20.0,Fishing vessel,970.74
2024-05-12 09:23:02,273332560,61.98223835710027,-6.52329569292683,12.927913279132792,188.3970189701897,105.0,20.0,Fishing vessel,960.54
2024-05-12 09:23:04,273332560,61.982122042737124,-6.52333029097561,12.924119241192413,188.39159891598916,105.0,20.0,Fishing vessel,950.34
2024-05-12 09:23:06,273332560,61.982005728373984,-6.523364889024391,12.920325203252032,188.3861788617886,105.0,20.0,Fishing vessel,940.14
2024-05-12 09:23:08,273332560,61.98188941401084,-6.523399487073171,12.916531165311653,188.38075880758808,105.0,20.0,Fishing vessel,929.94
2024-05-12 09:23:10,273332560,61.9817730996477,-6.523434085121951,12.912737127371274,188.37533875338752,105.0,20.0,Fishing vessel,919.73
2024-05-12 09:23:12,273332560,61.98165678528455,-6.523468683170732,12.908943089430894,188.369918699187,105.0,20.0,Fishing vessel,909.53
2024-05-12 09:23:14,273332560,61.98154047092141,-6.523503281219512,12.905149051490515,188.36449864498644,105.0,20.0,Fishing vessel,899.33
2024-05-12 09:23:16,273332560,61.98142415655826,-6.523537879268293,12.901355013550136,188.3590785907859,105.0,20.0,Fishing vessel,889.13
2024-05-12 09:23:18,273332560,61.98130784219512,-6.523572477317074,12.897560975609757,188.35365853658536,105.0,20.0,Fishing vessel,878.93
2024-05-12 09:23:20,273332560,61.981191527831974,-6.523607075365854,12.893766937669376,188.34823848238483,105.0,20.0,Fishing vessel,868.73
2024-05-12 09:23:22,273332560,61.981075213468834,-6.523641673414635,12.889972899728997,188.34281842818427,105.0,20.0,Fishing vessel,858.52
2024-05-12 09:23:24,273332560,61.980958899105694,-6.523676271463415,12.886178861788618,188.33739837398375,105.0,20.0,Fishing vessel,848.32
2024-05-12 09:23:26,273332560,61.98084258474255,-6.523710869512195,12.88238482384824,188.3319783197832,105.0,20.0,Fishing vessel,838.12
2024-05-12 09:23:28,273332560,61.98072627037941,-6.523745467560976,12.878590785907859,188.32655826558266,105.0,20.0,Fishing vessel,827.92
2024-05-12 09:23:30,273332560,61.98060995601626,-6.523780065609756,12.87479674796748,188.3211382113821,105.0,20.0,Fishing vessel,817.72
2024-05-12 09:23:32,273332560,61.98049364165312,-6.523814663658537,12.871002710027101,188.31571815718158,105.0,20.0,Fishing vessel,807.51
2024-05-12 09:23:34,273332560,61.98037732728997,-6.523849261707317,12.86720867208672,188.31029810298102,105.0,20.0,Fishing vessel,797.31
2024-05-12 09:23:36,273332560,61.98026101292683,-6.523883859756098,12.863414634146341,188.3048780487805,105.0,20.0,Fishing vessel,787.11
2024-05-12 09:23:38,273332560,61.980144698563684,-6.523918457804879,12.859620596205962,188.29945799457994,105.0,20.0,Fishing vessel,776.91
2024-05-12 09:23:40,273332560,61.980028384200544,-6.523953055853659,12.855826558265584,188.2940379403794,105.0,20.0,Fishing vessel,766.71
2024-05-12 09:23:42,273332560,61.9799120698374,-6.523987653902439,12.852032520325203,188.28861788617886,105.0,20.0,Fishing vessel,756.5
2024-05-12 09:23:44,273332560,61.97979575547426,-6.524022251951219,12.848238482384824,188.28319783197833,105.0,20.0,Fishing vessel,746.3
2024-05-12 09:23:46,273332560,61.97967944111111,-6.52405685,12.844444444444445,188.27777777777777,105.0,20.0,Fishing vessel,736.1
2024-05-12 09:23:48,273332560,61.97956312674797,-6.524091448048781,12.840650406504066,188.27235772357724,105.0,20.0,Fishing vessel,725.9
2024-05-12 09:23:50,273332560,61.97944681238482,-6.524126046097561,12.836856368563685,188.2669376693767,105.0,20.0,Fishing vessel,715.69
2024-05-12 09:23:52,273332560,61.97933049802168,-6.524160644146342,12.833062330623306,188.26151761517616,105.0,20.0,Fishing vessel,705.49
2024-05-12 09:23:54,273332560,61.979214183658534,-6.524195242195122,12.829268292682928,188.2560975609756,105.0,20.0,Fishing vessel,695.29
2024-05-12 09:23:56,273332560,61.979097869295394,-6.524229840243903,12.825474254742547,188.25067750677508,105.0,20.0,Fishing vessel,685.09
2024-05-12 09:23:58,273332560,61.97898155493225,-6.5242644382926835,12.821680216802168,188.24525745257452,105.0,20.0,Fishing vessel,674.88
2024-05-12 09:24:00,273332560,61.97886524056911,-6.524299036341463,12.817886178861789,188.239837398374,105.0,20.0,Fishing vessel,664.68
2024-05-12 09:24:02,273332560,61.97874892620596,-6.524333634390244,12.81409214092141,188.23441734417344,105.0,20.0,Fishing vessel,654.48
2024-05-12 09:24:04,273332560,61.97863261184282,-6.524368232439024,12.81029810298103,188.2289972899729,105.0,20.0,Fishing vessel,644.28
2024-05-12 09:24:06,273332560,61.97851629747967,-6.524402830487805,12.80650406504065,188.22357723577235,105.0,20.0,Fishing vessel,634.07
2024-05-12 09:24:08,273332560,61.97839998311653,-6.524437428536586,12.802710027100272,188.21815718157183,105.0,20.0,Fishing vessel,623.87
2024-05-12 09:24:10,273332560,61.978283668753384,-6.524472026585366,12.798915989159891,188.21273712737127,105.0,20.0,Fishing vessel,613.67
2024-05-12 09:24:12,273332560,61.978167354390244,-6.524506624634147,12.795121951219512,188.20731707317074,105.0,20.0,Fishing vessel,603.47
2024-05-12 09:24:14,273332560,61.9780510400271,-6.524541222682927,12.791327913279133,188.2018970189702,105.0,20.0,Fishing vessel,593.26
2024-05-12 09:24:16,273332560,61.97793472566396,-6.524575820731707,12.787533875338754,188.19647696476966,105.0,20.0,Fishing vessel,583.06
2024-05-12 09:24:18,273332560,61.97781841130082,-6.524610418780488,12.783739837398373,188.1910569105691,105.0,20.0,Fishing vessel,572.86
2024-05-12 09:24:20,273332560,61.97770209693767,-6.524645016829268,12.779945799457995,188.18563685636857,105.0,20.0,Fishing vessel,562.66
2024-05-12 09:24:22,273332560,61.97758578257453,-6.524679614878049,12.776151761517616,188.18021680216802,105.0,20.0,Fishing vessel,552.45
2024-05-12 09:24:24,273332560,61.97746946821138,-6.524714212926829,12.772357723577237,188.1747967479675,105.0,20.0,Fishing vessel,542.25
2024-05-12 09:24:26,273332560,61.97735315384824,-6.52474881097561,12.768563685636856,188.16937669376694,105.0,20.0,Fishing vessel,532.05
2024-05-12 09:24:28,273332560,61.977236839485094,-6.524783409024391,12.764769647696477,188.1639566395664,105.0,20.0,Fishing vessel,521.84
2024-05-12 09:24:30,273332560,61.977120525121954,-6.524818007073171,12.760975609756098,188.15853658536585,105.0,20.0,Fishing vessel,511.64
2024-05-12 09:24:32,273332560,61.97700421075881,-6.524852605121952,12.757181571815718,188.15311653116532,105.0,20.0,Fishing vessel,501.44
2024-05-12 09:24:34,273332560,61.97688789639567,-6.5248872031707315,12.753387533875339,188.14769647696477,105.0,20.0,Fishing vessel,491.24
2024-05-12 09:24:36,273332560,61.97677158203252,-6.524921801219512,12.74959349593496,188.14227642276424,105.0,20.0,Fishing vessel,481.03
2024-05-12 09:24:38,273332560,61.97665526766938,-6.524956399268293,12.74579945799458,188.13685636856368,105.0,20.0,Fishing vessel,470.83
2024-05-12 09:24:40,273332560,61.97653895330623,-6.524990997317073,12.7420054200542,188.13143631436316,105.0,20.0,Fishing vessel,460.63
2024-05-12 09:24:42,273332560,61.97642263894309,-6.525025595365854,12.738211382113821,188.1260162601626,105.0,20.0,Fishing vessel,450.42
2024-05-12 09:24:44,273332560,61.976306324579944,-6.525060193414634,12.734417344173442,188.12059620596207,105.0,20.0,Fishing vessel,440.22
2024-05-12 09:24:46,273332560,61.976190010216804,-6.525094791463415,12.730623306233063,188.11517615176152,105.0,20.0,Fishing vessel,430.02
2024-05-12 09:24:48,273332560,61.97607369585366,-6.525129389512196,12.726829268292683,188.109756097561,105.0,20.0,Fishing vessel,419.81
2024-05-12 09:24:50,273332560,61.97595738149052,-6.525163987560975,12.723035230352304,188.10433604336043,105.0,20.0,Fishing vessel,409.61
2024-05-12 09:24:52,273332560,61.97584106712737,-6.525198585609756,12.719241192411925,188.09891598915988,105.0,20.0,Fishing vessel,399.41
2024-05-12 09:24:54,273332560,61.97572475276423,-6.525233183658536,12.715447154471544,188.09349593495935,105.0,20.0,Fishing vessel,389.2
2024-05-12 09:24:56,273332560,61.97560843840108,-6.525267781707317,12.711653116531165,188.0880758807588,105.0,20.0,Fishing vessel,379.0
2024-05-12 09:24:58,273332560,61.97549212403794,-6.525302379756098,12.707859078590786,188.08265582655827,105.0,20.0,Fishing vessel,368.8
2024-05-12 09:25:00,273332560,61.975375809674794,-6.525336977804878,12.704065040650407,188.0772357723577,105.0,20.0,Fishing vessel,358.59
2024-05-12 09:25:02,273332560,61.975259495311654,-6.525371575853659,12.700271002710027,188.07181571815718,105.0,20.0,Fishing vessel,348.39
2024-05-12 09:25:04,273332560,61.97514318094851,-6.525406173902439,12.696476964769648,188.06639566395663,105.0,20.0,Fishing vessel,338.19
2024-05-12 09:25:06,273332560,61.97502686658537,-6.52544077195122,12.692682926829269,188.0609756097561,105.0,20.0,Fishing vessel,327.98
2024-05-12 09:25:08,273332560,61.97491055222222,-6.52547537,12.68888888888889,188.05555555555554,105.0,20.0,Fishing vessel,317.78
2024-05-12 09:25:10,273332560,61.97479423785908,-6.52550996804878,12.68509485094851,188.05013550135502,105.0,20.0,Fishing vessel,307.58
2024-05-12 09:25:12,273332560,61.97467792349593,-6.525544566097561,12.68130081300813,188.04471544715446,105.0,20.0,Fishing vessel,297.37
2024-05-12 09:25:14,273332560,61.97456160913279,-6.525579164146341,12.677506775067751,188.03929539295393,105.0,20.0,Fishing vessel,287.17
2024-05-12 09:25:16,273332560,61.97444529476965,-6.525613762195122,12.67371273712737,188.03387533875338,105.0,20.0,Fishing vessel,276.97
2024-05-12 09:25:18,273332560,61.974328980406504,-6.525648360243903,12.669918699186992,188.02845528455285,105.0,20.0,Fishing vessel,266.76
2024-05-12 09:25:20,273332560,61.974212666043364,-6.525682958292683,12.666124661246613,188.0230352303523,105.0,20.0,Fishing vessel,256.56
2024-05-12 09:25:22,273332560,61.97409635168022,-6.525717556341464,12.662330623306234,188.01761517615176,105.0,20.0,Fishing vessel,246.36
2024-05-12 09:25:24,273332560,61.97398003731708,-6.525752154390244,12.658536585365853,188.0121951219512,105.0,20.0,Fishing vessel,236.15
2024-05-12 09:25:26,273332560,61.97386372295393,-6.525786752439024,12.654742547425474,188.00677506775068,105.0,20.0,Fishing vessel,225.95
2024-05-12 09:25:28,273332560,61.97374740859079,-6.525821350487805,12.650948509485096,188.00135501355012,105.0,20.0,Fishing vessel,215.75
2024-05-12 09:25:30,273332560,61.97363109422764,-6.525855948536585,12.647154471544717,187.9959349593496,105.0,20.0,Fishing vessel,205.54
2024-05-12 09:25:32,273332560,61.9735147798645,-6.525890546585366,12.643360433604336,187.99051490514904,105.0,20.0,Fishing vessel,195.34
2024-05-12 09:25:34,273332560,61.973398465501354,-6.525925144634146,12.639566395663957,187.9850948509485,105.0,20.0,Fishing vessel,185.13
2024-05-12 09:25:36,273332560,61.973282151138214,-6.525959742682927,12.635772357723578,187.97967479674796,105.0,20.0,Fishing vessel,174.93
2024-05-12 09:25:38,273332560,61.97316583677507,-6.525994340731708,12.631978319783197,187.97425474254743,105.0,20.0,Fishing vessel,164.73
2024-05-12 09:25:40,273332560,61.97304952241193,-6.526028938780488,12.628184281842818,187.96883468834687,105.0,20.0,Fishing vessel,154.52
2024-05-12 09:25:42,273332560,61.97293320804878,-6.526063536829268,12.62439024390244,187.96341463414635,105.0,20.0,Fishing vessel,144.32
2024-05-12 09:25:44,273332560,61.97281689368564,-6.5260981348780485,12.62059620596206,187.9579945799458,105.0,20.0,Fishing vessel,134.12
2024-05-12 09:25:46,273332560,61.97270057932249,-6.526132732926829,12.61680216802168,187.95257452574526,105.0,20.0,Fishing vessel,123.91
